EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,TOTAL_STORE_CAP,STORE_CAP_HCDAUGHTER,EST_CAP_ENT_PRESS,OBJECTID,FORMATION_ID,STORAGE_UNIT_ID,STORAGE_UNIT_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,151,HU_F_20120829111413002,HU_S_20120920160449400,Nagykunsági,Saline Aquifer with hydrocarbon fields,,Hungary
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,152,HU_F_20120829111413002,HU_S_20120920160602705,Zala-délbalatoni,,,Hungary
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,153,HU_F_20120829111413002,HU_S_20120920160624685,Somogy-Drávavölgyi,Saline Aquifer with hydrocarbon fields,,Hungary
0.0,66.1,0.0,Pore vol and compressibility,0.0,43.334886416459135,0.0,Method 2,43.334886416459135,0.0,0.0,154,HU_F_20120829111413002,HU_S_20120920160711236,Északalföldi,Saline Aquifer without hydrocarbon fields,,Hungary
0.0,55.5,0.0,Pore vol and compressibility,0.0,29.313219677196,0.0,Method 2,29.313219677196,0.0,0.0,155,HU_F_20120829111413002,HU_S_20120926193744778,Szegedi,Saline Aquifer without hydrocarbon fields,,Hungary
0.0,52.9,0.0,Pore vol and compressibility,0.0,39.94298075367601,0.0,Method 2,39.94298075367601,0.0,0.0,156,HU_F_20120829111413002,HU_S_20120926194229541,Kiskunsági,Saline Aquifer without hydrocarbon fields,,Hungary
0.0,40.7,0.0,Pore vol and compressibility,0.0,24.80681567014492,0.0,Method 2,24.80681567014492,0.0,0.0,157,HU_F_20120829111413002,HU_S_20120926195129008,Hajdúsági,Saline Aquifer without hydrocarbon fields,,Hungary
0.0,2.06,0.0,Pore vol and compressibility,0.0,2.591411015958188,0.0,Method 2,2.591411015958188,0.0,0.0,158,HU_F_20120829111413002,HU_S_20120926205502711,Közép-dunai,Saline Aquifer without hydrocarbon fields,,Hungary
0.0,48.1,0.0,Pore vol and compressibility,0.0,36.12175148460879,0.0,Method 2,36.12175148460879,0.0,0.0,159,HU_F_20120829111413002,HU_S_20120926210834912,Nyugat-kisalföld,Saline Aquifer without hydrocarbon fields,,Hungary
0.0,45.4,0.0,Pore vol and compressibility,0.0,38.0395017290673,0.0,Method 2,38.0395017290673,0.0,0.0,160,HU_F_20120829111413002,HU_S_20120926214831482,Kelet-kisalföldi,,,Hungary
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,161,HU_F_20120926215830569,HU_S_20120926215938427,Békési_BC,,,Hungary
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,162,HU_F_20120926215830569,HU_S_20120926220132904,Nagykunsági_BC,Saline Aquifer with hydrocarbon fields,,Hungary
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,163,HU_F_20120926215830569,HU_S_20120926221840925,Szegedi_BC,Saline Aquifer with hydrocarbon fields,,Hungary
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,164,HU_F_20120926215830569,HU_S_20120926224210675,Kiskunsági_BC,Saline Aquifer with hydrocarbon fields,,Hungary
