EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,MIN_EST_STORE_CAP_GAS,MEAN_EST_STORE_CAP_GAS,MAX_EST_STORE_CAP_GAS,MIN_EST_STORE_CAP_OIL,MEAN_EST_STORE_CAP_OIL,MAX_EST_STORE_CAP_OIL,MIN_CALC_STORE_CAP_GAS,MEAN_CALC_STORE_CAP_GAS,MAX_CALC_STORE_CAP_GAS,MIN_CALC_STORE_CAP_OIL,MEAN_CALC_STORE_CAP_OIL,MAX_CALC_STORE_CAP_OIL,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,EST_CAP_ENT_PRESS,OBJECTID,STORAGE_UNIT_ID,TRAP_ID,TRAP_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,88,FR_S_20121010172717936,FR_T_20121011192824559,Vert-la-Gravelle,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89,FR_S_20121010172717936,FR_T_20121011192946114,Vert-le-Grand,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,90,FR_S_20121031165944671,FR_T_20121031165948995,Aquitaine ADU,Aquifer Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,91,FR_S_20121031170001402,FR_T_20121031170005524,Sud-Est ADU,Aquifer Daughter Unit,,France
0.0,0.0,0.0,,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17,AT_S_20121003123956917,AT_T_20121205154247927,Schoenkirchen Uebertief,Hydrocarbon Daughter Unit,,Austria
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,93,AT_S_20121003123956917,AT_T_20121205155552728,Schoenkirchen Tief,Hydrocarbon Daughter Unit,Triassic,Austria
15.0,27.0,40.0,Pore vol and compressibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Method 1,0.0,94,BE_S_20120926110441359,BE_T_20120926152350687,De verloren Kamp structure,Aquifer Daughter Unit,Triassic,Belgium
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Method 1,0.0,95,BE_S_20121001133442968,BE_T_20121001143638046,Poederlee Structure,Aquifer Daughter Unit,Carboniferous,Belgium
0.0,0.0,0.0,,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,96,BG_S_20121115085722334,BG_T_20121115085801849,Galata DU,Hydrocarbon Daughter Unit,Paleogene,Bulgaria
0.0,0.0,0.0,,12.0,13.0,14.0,1.0,1.0,1.0,13.0,14.0,15.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,97,CZ_S_20121018103535587,CZ_T_20121018104027389,Hrusky,Hydrocarbon Daughter Unit,Neogene,Czech Republic
0.0,0.0,0.0,,5.0,5.0,5.0,0.0,0.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,98,CZ_S_20121018103535587,CZ_T_20121018131555284,Poddvorov,Hydrocarbon Daughter Unit,Neogene,Czech Republic
19.0,21.0,23.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,43.0,Method 1,0.0,99,CZ_S_20121018134342315,CZ_T_20121018134818415,Nosislav-Nikolcice,Aquifer Daughter Unit,Neogene,Czech Republic
18.0,20.0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,68.0,Method 1,0.0,100,CZ_S_20121018134342315,CZ_T_20121018142127654,Ivan,Aquifer Daughter Unit,Neogene,Czech Republic
70.0,79.0,90.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,89.0,308.0,Method 1,0.0,101,CZ_S_20121018134342315,CZ_T_20121018143342432,Kobyli,Aquifer Daughter Unit,Neogene,Czech Republic
